USSCIDN,ECON_OFF_TYPE
2828330,2
2828347,6
2828351,1
2828353,1
2828363,6
2828376,6
2828534,2
2828538,2
2828540,12
2828541,21
2828543,9
2828553,12
2828568,12
2828603,12
2828622,12
2828643,4
2828932,6
2828936,6
2828940,7
2828957,19
2829073,7
2829104,6
2829119,7
2829127,7
2829128,9
2829133,7
2829138,12
2829154,10
2829180,19
2829182,7
2829197,4
2829217,6
2829258,4
2829338,6
2829356,2
2829391,4
2829412,7
2829422,6
2829425,12
2829447,12
2829469,6
2829483,1
2829495,5
2829507,12
2829510,12
2829597,6
2829610,2
2829619,12
2829629,2
2829645,13
2829668,15
2829681,12
2829695,12
2829710,6
2829720,6
2829728,4
2829736,4
2829748,14
2829750,12
2829765,4
2829793,17
2829818,6
2829881,9
2829889,12
2829903,12
2829904,4
2829908,2
2829913,16
2829924,16
2829933,16
2829944,6
2829946,9
2829951,5
2829957,6
2829969,7
2829986,4
2830012,4
2830100,6
2830118,6
2830195,12
2830240,4
2830258,12
2830269,4
2830274,6
2830294,19
2830348,6
2830360,4
2830425,14
2830427,12
2830453,12
2830469,12
2830477,6
2830483,12
2830507,2
2830517,12
2830520,4
2830525,7
2830557,4
2830567,14
2830570,14
2830574,12
2830582,6
2830632,1
2830665,12
2830679,6
2830689,8
2830690,1
2830697,12
2830707,6
2830711,2
2830716,7
2830723,4
2830742,6
2830750,6
2830754,7
2830757,16
2830801,6
2830826,9
2830832,4
2830834,9
2830853,9
2830863,6
2830864,6
2830915,15
2830916,15
2830919,6
2830924,12
2830945,2
2831028,4
2831031,4
2831062,12
2831073,13
2831077,13
2831114,6
2831124,12
2831131,1
2831134,4
2831146,19
2831160,20
2831205,20
2831217,9
2831237,12
2831276,6
2831281,2
2831282,2
2831286,12
2831287,15
2831294,4
2831296,4
2831298,12
2831318,7
2831337,13
2831345,4
2831380,14
2831389,16
2831390,7
2831392,4
2831395,7
2831430,4
2831469,6
2831473,12
2831479,12
2831484,12
2831502,4
2831510,6
2831535,4
2831616,1
2831642,6
2831680,6
2831682,6
2831685,2
2831700,12
2831725,12
2831751,2
2831761,12
2831762,2
2831793,21
2831805,6
2831810,2
2831816,2
2831823,12
2831829,4
2831834,12
2831840,2
2831865,12
2831866,12
2831871,6
2831898,12
2831905,4
2831912,12
2831918,1
2831926,6
2831959,12
2831979,21
2831986,4
2831989,4
2831991,4
2832002,6
2832019,1
2832032,6
2832034,1
2832071,6
2832091,7
2832114,2
2832118,6
2832122,9
2832125,4
2832150,6
2832161,13
2832201,7
2832207,6
2832219,12
2832223,7
2832227,15
2832229,12
2832230,10
2832232,6
2832237,6
2832246,6
2832270,20
2832304,19
2832310,16
2832381,12
2832384,6
2832387,6
2832417,21
2832453,12
2832470,4
2832479,21
2832492,7
2832501,6
2832504,9
2832554,6
2832583,12
2832584,9
2832622,12
2832636,4
2832643,6
2832651,6
2832673,7
2832690,6
2832696,13
2832699,19
2832704,15
2832720,4
2832742,4
2832749,21
2832752,21
2832759,19
2832769,6
2832785,17
2832839,4
2832865,9
2832870,12
2832871,12
2832873,16
2832876,12
2832902,10
2832913,7
2832937,9
2832954,2
2832955,6
2832977,4
2832980,12
2832994,7
2833013,6
2833026,2
2833057,4
2833061,12
2833062,1
2833063,9
2833113,9
2833115,4
2833143,12
2833147,15
2833190,19
2833199,4
2833206,6
2833207,6
2833208,6
2833218,12
2833222,6
2833245,6
2833271,6
2833273,12
2833278,2
2833283,12
2833287,12
2833295,4
2833304,12
2833340,2
2833391,12
2833399,2
2833403,2
2833408,12
2833410,12
2833435,3
2833436,3
2833444,6
2833451,8
2833464,8
2833468,4
2833471,4
2833491,12
2833524,4
2833543,6
2833550,4
2833569,15
2833581,2
2833626,16
2833627,12
2833648,4
2833649,12
2833673,9
2833682,12
2833706,14
2833715,4
2833739,4
2833748,16
2833769,2
2833775,5
2833790,4
2833798,19
2833811,4
2833829,4
2833876,2
2833887,12
2833889,12
2833899,12
2833903,9
2833906,6
2833942,6
2833948,4
2833952,4
2833969,16
2833975,9
2833981,12
2833982,1
2833993,12
2834010,6
2834022,12
2834114,12
2834145,8
2834150,12
2834162,6
2834187,4
2834203,4
2834289,9
2834293,4
2834295,5
2834300,4
2834358,5
2834371,6
2834400,8
2834403,4
2834410,12
2834412,12
2834414,4
2834419,8
2834435,12
2834457,4
2834478,2
2834515,12
2834534,12
2834535,15
2834545,1
2834559,12
2834560,20
2834574,12
2834575,1
2834589,1
2834618,1
2834623,1
2834629,2
2834641,21
2834659,8
2834697,12
2834719,15
2834732,12
2834736,4
2834744,2
2834770,7
2834772,16
2834823,7
2834832,4
2834845,12
2834847,10
2834849,9
2834853,12
2834855,6
2834865,8
2834866,6
2834883,21
2834892,12
2834895,1
2834900,6
2834903,4
2834906,12
2834912,12
2834914,6
2834915,6
2834932,1
2834938,12
2834944,4
2834981,15
2835005,12
2835028,20
2835030,4
2835041,12
2835042,12
2835072,1
2835076,1
2835090,6
2835102,6
2835126,2
2835133,2
2835138,2
2835148,16
2835159,1
2835161,2
2835188,19
2835203,1
2835228,12
2835231,6
2835240,21
2835245,4
2835280,6
2835309,12
2835318,12
2835382,6
2835399,13
2835410,12
2835453,12
2835463,5
2835483,6
2835504,4
2835508,12
2835515,12
2835518,12
2835525,6
2835545,12
2835550,4
2835556,6
2835581,15
2835618,5
2835641,9
2835642,4
2835656,4
2835687,8
2835689,4
2835697,1
2835698,5
2835703,9
2835712,19
2835717,6
2835729,6
2835744,6
2835748,2
2835758,12
2835764,12
2835777,12
2835782,4
2835797,12
2835806,7
2835817,4
2835818,12
2835825,4
2835849,12
2835853,12
2835864,15
2835883,6
2835896,4
2835919,6
2835950,12
2835962,4
2835972,4
2835994,12
2836015,8
2836035,12
2836039,2
2836042,19
2836055,7
2836061,15
2836088,6
2836096,4
2836101,4
2836113,6
2836136,2
2836151,2
2836175,7
2836179,9
2836222,15
2836224,2
2836253,19
2836258,7
2836264,12
2836282,2
2836318,4
2836336,12
2836361,4
2836385,14
2836423,1
2836487,12
2836491,12
2836498,6
2836533,8
2836588,4
2836589,4
2836592,6
2836595,1
2836602,12
2836603,12
2836609,6
2836611,4
2836619,6
2836651,2
2836667,6
2836671,12
2836673,5
2836684,4
2836693,1
2836718,1
2836728,2
2836732,12
2836747,4
2836755,12
2836760,5
2836852,13
2836855,5
2836858,4
2836868,1
2836921,12
2836929,6
2837017,9
2837045,12
2837053,12
2837077,4
2837081,8
2837122,3
2837124,12
2837133,2
2837176,7
2837199,12
2837254,7
2837256,12
2837277,4
2837315,12
2837370,6
2837379,9
2837386,12
2837403,4
2837432,14
2837435,12
2837504,2
2837529,2
2837531,5
2837537,2
2837582,12
2837644,12
2837659,2
2837670,4
2837675,7
2837680,12
2837681,6
2837689,6
2837690,2
2837691,6
2837704,6
2837706,12
2837711,14
2837726,15
2837745,7
2837747,1
2837753,12
2837775,13
2837843,6
2837848,1
2837857,1
2837861,12
2837865,6
2837869,7
2837879,8
2837883,7
2837887,4
2837915,9
2837947,9
2837950,6
2837956,1
2837975,1
2837976,6
2837984,6
2837991,19
2838003,2
2838005,4
2838108,15
2838114,9
2838115,4
2838116,4
2838133,4
2838134,3
2838135,2
2838172,9
2838175,1
2838179,12
2838184,13
2838188,4
2838190,6
2838211,20
2838219,20
2838229,4
2838270,12
2838287,12
2838312,12
2838320,12
2838340,6
2838354,9
2838357,4
2838362,9
2838406,7
2838426,2
2838447,16
2838451,7
2838496,4
2838498,12
2838499,4
2838504,4
2838514,2
2838528,12
2838529,2
2838534,9
2838542,6
2838543,19
2838545,6
2838579,7
2838583,7
2838611,12
2838621,1
2838634,4
2838662,1
2838679,4
2838680,2
2838725,7
2838728,10
2838750,4
2838763,12
2838772,12
2838780,12
2838802,9
2838820,6
2838822,12
2838829,12
2838843,12
2838844,12
2838856,7
2838895,6
2838900,4
2838945,12
2838949,12
2838958,4
2838961,12
2839028,4
2839040,6
2839042,12
2839047,12
2839048,12
2839051,12
2839057,4
2839063,21
2839064,15
2839076,6
2839094,12
2839096,13
2839106,6
2839112,6
2839114,7
2839115,6
2839125,6
2839130,9
2839143,16
2839150,15
2839158,12
2839172,9
2839196,4
2839205,12
2839207,4
2839221,4
2839270,12
2839277,4
2839287,6
2839292,4
2839296,6
2839317,2
2839323,2
2839325,6
2839332,12
2839352,12
2839389,2
2839390,2
2839399,12
2839414,21
2839416,12
2839417,6
2839426,12
2839438,21
2839443,4
2839446,4
2839462,12
2839464,4
2839466,6
2839496,15
2839498,12
2839499,6
2839506,12
2839508,12
2839537,12
2839541,2
2839549,1
2839560,18
2839567,4
2839584,12
2839624,12
2839630,12
2839645,2
2839658,12
2839663,12
2839677,15
2839681,3
2839684,4
2839694,9
2839707,6
2839709,15
2839721,9
2839727,1
2839736,4
2839748,1
2839757,6
2839769,6
2839778,5
2839781,8
2839789,13
2839798,2
2839805,21
2839806,20
2839826,2
2839851,12
2839871,6
2839882,2
2839904,5
2839916,7
2839936,12
2839977,12
2840003,12
2840049,10
2840051,4
2840054,6
2840060,2
2840061,2
2840067,12
2840104,12
2840118,2
2840126,12
2840164,6
2840181,7
2840183,2
2840186,12
2840204,2
2840205,2
2840214,6
2840217,6
2840222,16
2840226,6
2840228,12
2840232,4
2840274,4
2840283,6
2840370,2
2840381,4
2840384,4
2840392,6
2840402,6
2840408,4
2840412,5
2840424,12
2840426,12
2840428,9
2840438,12
2840450,15
2840453,12
2840465,4
2840466,21
2840474,12
2840481,6
2840513,15
2840527,9
2840538,6
2840569,4
2840573,4
2840587,7
2840599,4
2840638,12
2840649,12
2840651,6
2840673,4
2840681,21
2840702,12
2840715,4
2840722,6
2840738,12
2840754,7
2840799,6
2840807,1
2840827,6
2840830,12
2840832,4
2840847,4
2840866,1
2840873,12
2840875,12
2840876,12
2840886,20
2840920,4
