USSCIDN,AGE,SENTTOT,ECON_OFF_TYPE
2828347,56,24,6
2828351,72,72,1
2828376,41,64,6
2828534,59,15,2
2828538,55,15,2
2828540,49,52,12
2828541,37,21.52,21
2828543,25,24,9
2828553,48,20,12
2828568,29,10,12
2828603,25,24,12
2828622,33,72,12
2828643,35,24,4
2828932,48,21,6
2828936,31,8,6
2828957,53,87,19
2829073,32,36,7
2829104,54,36,6
2829119,29,51,7
2829127,40,62,7
2829133,32,1.69,7
2829138,35,8,12
2829154,26,6,10
2829180,25,6,19
2829182,43,52,7
2829197,69,36,4
2829258,38,51,4
2829338,60,30,6
2829356,55,36,2
2829391,36,27,4
2829412,29,64,7
2829425,46,11.83,12
2829447,37,4,12
2829469,48,12.03,6
2829483,41,48,1
2829510,67,0.03,12
2829597,54,41,6
2829610,65,84,2
2829619,53,4,12
2829629,70,48,2
2829645,47,24,13
2829668,67,120,15
2829681,58,14,12
2829695,48,11.83,12
2829710,44,42,6
2829720,35,16,6
2829728,37,21,4
2829736,50,60,4
2829748,39,6,14
2829765,27,24.89,4
2829793,44,60,17
2829904,25,210,4
2829908,43,14,2
2829913,66,60,16
2829924,29,151,16
2829933,37,151,16
2829946,24,49,9
2829969,38,13.69,7
2829986,70,0.03,4
2830012,34,60,4
2830100,31,18,6
2830118,34,0.03,6
2830195,65,3,12
2830240,39,6,4
2830258,52,18,12
2830274,42,12.03,6
2830294,72,1,19
2830348,57,30,6
2830360,31,0.03,4
2830425,49,0.03,14
2830453,21,18,12
2830469,27,9,12
2830477,36,4,6
2830520,77,12.03,4
2830525,36,54,7
2830567,59,30,14
2830582,36,32,6
2830632,52,36,1
2830679,45,0.03,6
2830689,59,65,8
2830690,50,33,1
2830707,51,33,6
2830711,66,12.03,2
2830716,30,57,7
2830723,62,48,4
2830742,55,0.03,6
2830750,60,12.03,6
2830754,24,36,7
2830801,51,6,6
2830826,26,6,9
2830832,46,33,4
2830853,28,18,9
2830863,55,12.03,6
2830864,29,12.03,6
2830915,57,84,15
2830916,43,46,15
2830919,65,40,6
2831028,35,0.03,4
2831031,30,0.03,4
2831073,59,24,13
2831077,61,12.03,13
2831114,31,97,6
2831124,34,48,12
2831131,59,51,1
2831134,35,0.03,4
2831205,40,40,20
2831217,26,14,9
2831276,39,18,6
2831281,33,87,2
2831282,51,68,2
2831286,70,13,12
2831287,40,46,15
2831294,37,42,4
2831296,37,48,4
2831298,40,2,12
2831318,50,72,7
2831337,36,30,13
2831345,45,1.71,4
2831380,52,42,14
2831389,32,6,16
2831390,36,75,7
2831392,23,18,4
2831395,44,12.03,7
2831430,58,20,4
2831469,33,20,6
2831473,55,75,12
2831479,38,15,12
2831484,47,12.03,12
2831502,45,18,4
2831510,52,0.03,6
2831535,48,24,4
2831616,30,66,1
2831642,52,12.03,6
2831700,39,60,12
2831725,32,0.03,12
2831751,61,48,2
2831761,39,30,12
2831762,40,12.03,2
2831805,45,0.03,6
2831810,68,108,2
2831816,66,42,2
2831823,47,12.03,12
2831829,35,36,4
2831834,41,18,12
2831840,58,52,2
2831865,55,0.07,12
2831866,52,60,12
2831871,44,18,6
2831905,38,10,4
2831912,42,30,12
2831918,40,10,1
2831926,51,6,6
2831959,54,0.23,12
2831986,58,12.03,4
2831989,71,12.03,4
2831991,24,65,4
2832002,32,0.03,6
2832032,50,36,6
2832114,69,24,2
2832118,26,24.03,6
2832122,29,8,9
2832125,45,12.03,4
2832150,28,51,6
2832161,55,12.03,13
2832219,41,12.03,12
2832223,29,39,7
2832227,40,87,15
2832230,20,30,10
2832232,37,0.03,6
2832237,34,5,6
2832246,50,6,6
2832310,44,60,16
2832384,25,14,6
2832387,22,26,6
2832417,52,53,21
2832453,41,27,12
2832470,33,48,4
2832479,42,10,21
2832492,26,61,7
2832501,51,204,6
2832554,54,80,6
2832583,34,10.2,12
2832584,28,16,9
2832636,27,0.03,4
2832643,43,24,6
2832673,48,30,7
2832696,38,110,13
2832699,29,0.03,19
2832704,55,24,15
2832720,29,0.03,4
2832742,32,18,4
2832749,53,12.03,21
2832752,60,12.03,21
2832759,53,125,19
2832769,21,24,6
2832839,34,6,4
2832870,57,30,12
2832871,28,13,12
2832913,47,120,7
2832954,33,104,2
2832977,47,0.07,4
2832980,62,13,12
2832994,31,42,7
2833013,62,0.03,6
2833026,54,90,2
2833057,39,60,4
2833062,37,36,1
2833113,57,0.03,9
2833115,36,30,4
2833147,59,60,15
2833190,43,4,19
2833199,64,36,4
2833206,29,22,6
2833207,28,6,6
2833208,49,18,6
2833222,31,6,6
2833245,50,30,6
2833278,40,25,2
2833287,58,70,12
2833295,34,31,4
2833304,52,6,12
2833340,40,51,2
2833391,32,27,12
2833408,51,4,12
2833410,54,4,12
2833435,63,0.03,3
2833436,70,0.03,3
2833444,33,0.03,6
2833451,44,0.03,8
2833464,52,21,8
2833468,28,12,4
2833471,55,3.32,4
2833491,39,6,12
2833524,43,37,4
2833543,36,12.03,6
2833550,27,11.99,4
2833569,43,15,15
2833581,59,14,2
2833626,52,41,16
2833648,35,0.07,4
2833673,21,24,9
2833682,26,2,12
2833706,46,30,14
2833715,42,0.03,4
2833739,28,33,4
2833748,52,12.03,16
2833769,42,70,2
2833790,28,44,4
2833798,29,12.03,19
2833811,48,64,4
2833829,41,16,4
2833876,45,12,2
2833942,58,120,6
2833948,30,30,4
2833952,47,90,4
2833969,58,24,16
2833975,22,24,9
2833982,61,3,1
2833993,35,56,12
2834010,47,0.03,6
2834022,64,12.03,12
2834114,41,2.96,12
2834145,59,10,8
2834150,46,31.23,12
2834162,64,24,6
2834187,37,0.07,4
2834203,21,15,4
2834293,70,97,4
2834295,44,24,5
2834358,52,4,5
2834371,45,57,6
2834400,49,0.03,8
2834403,35,28,4
2834414,38,80,4
2834419,48,41,8
2834435,69,33,12
2834457,46,25,4
2834535,48,128,15
2834545,53,25,1
2834559,51,30,12
2834560,51,0.03,20
2834575,50,0.03,1
